date,product,customer,units
2020-11-01,Product-02,Customer-03,77383
2020-12-01,Product-02,Customer-03,75628
2021-01-01,Product-02,Customer-03,72231
2021-02-01,Product-02,Customer-03,76740
2021-03-01,Product-02,Customer-03,70340
2021-04-01,Product-02,Customer-03,70640
2021-05-01,Product-02,Customer-03,85003
2021-06-01,Product-02,Customer-03,91585
2021-07-01,Product-02,Customer-03,82132
2021-08-01,Product-02,Customer-03,75549
2021-09-01,Product-02,Customer-03,94840
2021-10-01,Product-02,Customer-03,84524
2021-11-01,Product-02,Customer-03,88013
2021-12-01,Product-02,Customer-03,73947
2022-01-01,Product-02,Customer-03,86371
2022-02-01,Product-02,Customer-03,94739
2022-03-01,Product-02,Customer-03,76910
2022-04-01,Product-02,Customer-03,94267
2022-05-01,Product-02,Customer-03,84573
2022-06-01,Product-02,Customer-03,79872
2022-07-01,Product-02,Customer-03,93477
2022-08-01,Product-02,Customer-03,90734
2022-09-01,Product-02,Customer-03,85126
2022-10-01,Product-02,Customer-03,94226
2022-11-01,Product-02,Customer-03,89976
2022-12-01,Product-02,Customer-03,91331
2023-01-01,Product-02,Customer-03,91723
2023-02-01,Product-02,Customer-03,88908
2023-03-01,Product-02,Customer-03,104562
2023-04-01,Product-02,Customer-03,86813
2023-05-01,Product-02,Customer-03,93819
2023-06-01,Product-02,Customer-03,86428
2023-07-01,Product-02,Customer-03,110293
2023-08-01,Product-02,Customer-03,96385
2023-09-01,Product-02,Customer-03,95184
2023-10-01,Product-02,Customer-03,102452
2023-11-01,Product-02,Customer-03,82882
2023-12-01,Product-02,Customer-03,104189
2024-01-01,Product-02,Customer-03,98837
2024-02-01,Product-02,Customer-03,88663
2024-03-01,Product-02,Customer-03,95316
2024-04-01,Product-02,Customer-03,97285
2024-05-01,Product-02,Customer-03,99408
2024-06-01,Product-02,Customer-03,103515
2024-07-01,Product-02,Customer-03,123512
2024-08-01,Product-02,Customer-03,114980
2024-09-01,Product-02,Customer-03,112078
2024-10-01,Product-02,Customer-03,115937
2024-11-01,Product-02,Customer-03,113138
2024-12-01,Product-02,Customer-03,108157
2025-01-01,Product-02,Customer-03,109502
2025-02-01,Product-02,Customer-03,112650
2025-03-01,Product-02,Customer-03,111568
2025-04-01,Product-02,Customer-03,102290
2025-05-01,Product-02,Customer-03,112069
2025-06-01,Product-02,Customer-03,131592
2025-07-01,Product-02,Customer-03,135053
2025-08-01,Product-02,Customer-03,136435
2025-09-01,Product-02,Customer-03,114526
2025-10-01,Product-02,Customer-03,127503
2020-11-01,Product-02,Customer-05,79825
